SAL_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SAL80037,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,11,0,10,0,0,0,0,0,0,0,0,4,0,4,0,6,0,6,0,0,0,6,3,0,14,5,3,0,7,0,0,0,7,9,0,13,16,4,0,22,0,0,0,22,3,0,23,5,3,0,8,0,0,0,8,3,0,11,9,0,0,11,0,0,0,10,3,0,15,8,9,0,19,0,0,0,15,5,0,19,26,10,0,31,0,0,0,31,9,0,39,8,0,0,8,0,0,0,8,4,0,14,10,3,0,10,0,0,0,10,0,0,10,6,0,0,6,0,0,0,6,0,0,9,7,0,0,10,0,0,0,10,0,0,11,11,4,0,12,0,0,0,12,0,0,18,0,0
SAL80038,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,8,0,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,3,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0
SAL80039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,9,0,10,0,6,0,8,0,0,0,8,10,0,19,9,11,0,12,0,0,0,12,10,0,16,8,3,4,10,0,0,0,10,12,0,17,9,5,0,8,0,0,0,8,0,0,13,8,7,0,15,0,0,0,15,7,0,22,16,4,0,21,0,0,0,21,0,0,22,23,5,0,27,0,0,0,32,7,0,39,9,3,0,9,0,0,0,9,6,0,19,12,4,0,16,0,0,0,16,3,0,22,6,0,0,6,0,0,0,6,0,0,6,14,0,0,14,0,0,0,14,0,0,9,10,4,0,14,0,0,0,14,0,0,15,0,0
SAL80040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,5,0,0,0,6,0,0,0,6,0,0,5,0,0,0,8,0,0,0,8,0,0,5,3,4,0,6,0,0,0,6,10,0,20,6,0,0,6,0,0,0,6,3,0,13,3,3,0,3,0,0,0,3,0,0,8,0,0,0,5,0,0,0,5,0,0,5,17,0,0,19,0,0,0,19,0,0,21,10,3,0,9,0,0,0,8,0,0,8,3,0,0,6,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,3,10,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,5,7,0,11,0,0
SAL80041,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,8,4,0,10,3,5,0,5,0,0,0,5,4,0,9,4,4,0,6,0,0,0,6,4,0,10,3,3,3,13,0,0,0,13,0,0,16,12,6,0,20,0,0,0,17,3,0,23,7,5,0,17,0,0,0,17,0,0,17,15,3,0,19,0,0,0,19,0,0,19,22,6,0,25,0,0,0,25,0,0,29,6,0,0,3,0,0,0,3,0,0,4,9,0,0,9,0,0,0,11,0,0,11,0,0,0,4,0,0,0,4,0,0,4,12,0,0,8,0,0,0,8,0,0,8,11,3,0,8,0,0,0,8,0,0,14,0,0
SAL80042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,3,4,0,5,0,0,0,5,0,0,3,0,7,0,11,0,0,0,11,0,0,12,10,0,0,10,0,0,0,10,0,0,10,14,6,0,17,0,0,0,17,3,0,17,7,5,0,11,0,0,0,11,0,0,11,17,0,0,19,0,0,0,21,0,0,21,9,5,0,6,0,0,0,6,0,0,10,4,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,7,0,0,7,0,0,0,3,0,0,0,3,0,0,3,0,0
SAL80043,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,4,0,3,0,3,0,3,0,0,0,3,8,0,7,0,0,0,0,0,0,0,0,5,0,7,0,0,0,5,0,0,0,5,6,0,9,0,3,0,9,0,0,0,8,9,0,17,4,3,0,5,0,0,0,5,5,0,8,5,3,0,10,0,0,4,11,6,0,15,0,0,0,4,0,0,0,6,9,0,14,16,3,0,18,0,0,0,18,9,0,27,3,3,0,6,0,0,0,6,3,0,12,3,5,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,3,28,4,0,30,0,0,0,32,4,0,32,8,0,0,10,0,0,0,10,9,0,14,0,0
SAL80044,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,5,7,0,8,0,0,0,0,0,0,0,0,3,0,5,3,0,0,5,0,0,0,5,6,0,10,0,3,0,3,0,0,0,3,0,0,0,9,0,0,9,0,0,0,9,3,0,16,5,0,0,5,0,0,0,7,5,0,10,3,6,0,8,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,3,0,3,11,0,0,18,0,0,0,18,0,0,18,3,0,0,5,0,0,0,5,4,0,13,0,0
SAL80045,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,4,0,0,4,0,0,0,4,0,0,5,0,3,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,3,11,3,0,13,0,0,0,13,0,0,12,6,0,0,9,0,0,0,9,0,0,9,0,4,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,8,0,0,0,5,0,0,0,5,0,0,6,0,0
SAL80046,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,6,0,0,3,0,5,0,5,0,0,0,5,0,0,5,3,0,0,6,0,0,0,3,9,0,8,0,3,0,4,0,0,0,4,3,0,6,4,0,0,6,0,0,0,6,5,0,9,3,0,0,3,0,0,0,3,3,0,6,7,4,0,8,0,0,0,8,0,0,8,11,3,0,14,0,0,0,14,0,0,18,7,0,0,7,0,0,0,7,0,0,5,5,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,8,0,0,8,0,0,0,4,0,0,0,4,0,0,5,0,0
SAL80047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,0,0,5,4,0,13,0,5,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,3,5,0,12,7,4,0,9,0,0,0,11,9,0,19,3,6,0,12,0,0,0,12,5,0,9,11,6,0,10,0,0,0,10,0,0,14,8,0,0,4,0,0,0,4,4,0,11,11,3,0,12,0,0,0,15,3,0,15,6,3,0,7,0,0,0,7,0,0,11,7,0,0,4,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,9,3,0,12,4,0,0,9,0,0,0,9,3,0,8,0,0
SAL80048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,3,3,3,0,10,0,3,0,5,0,0,0,4,4,0,3,0,0,0,4,0,0,0,4,3,0,5,0,0,0,4,0,0,0,4,8,0,6,10,0,0,10,0,0,0,10,3,0,13,0,5,0,8,0,0,0,8,3,0,10,6,4,0,11,0,0,0,11,3,0,11,16,0,0,18,0,0,0,18,6,0,23,3,0,0,3,0,0,0,3,3,0,10,3,0,0,6,0,0,0,6,0,0,6,4,0,0,4,0,0,0,4,0,0,4,7,0,0,11,0,0,0,11,0,0,10,5,0,0,9,0,0,0,10,5,0,13,0,0
SAL80049,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,5,0,10,0,10,0,0,0,14,8,0,19,0,0,0,0,0,0,0,0,0,0,5,3,12,0,11,0,0,0,11,8,0,25,8,5,0,18,0,0,0,17,5,0,26,11,10,4,14,0,0,0,17,18,0,33,17,8,0,22,0,0,0,27,4,0,26,14,9,0,21,0,0,0,21,0,0,19,38,10,3,51,0,0,0,51,10,0,59,10,0,3,22,0,0,0,22,6,0,24,17,3,0,16,0,0,0,16,0,0,16,9,0,0,9,0,0,0,9,3,0,12,9,0,0,9,0,0,0,9,0,0,9,11,4,0,15,0,0,0,15,0,0,19,0,0
SAL80050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,10,0,10,0,4,0,6,0,0,0,6,11,0,14,5,3,0,3,0,0,0,3,12,0,11,3,9,0,18,0,0,0,18,6,0,23,10,7,0,14,0,0,3,18,5,0,26,3,9,0,14,0,0,0,14,9,0,25,9,7,0,18,0,0,0,18,3,0,26,29,5,0,37,0,0,0,37,6,0,45,12,0,0,16,0,0,0,16,5,0,19,6,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,3,12,0,0,13,0,0,0,13,0,0,13,5,0,4,8,0,0,0,8,0,0,11,0,0
SAL80051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,3,0,0,0,3,0,0,7,0,0,0,4,0,0,0,4,3,0,6,0,0,0,4,0,0,0,3,0,0,3,5,0,0,5,0,0,0,5,0,0,3,3,4,0,7,0,0,0,7,6,0,17,6,4,0,7,0,0,0,7,0,0,9,0,0,0,4,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,10,5,0,10,0,0,0,17,3,0,15,4,0,0,0,0,0,0,0,0,0,6,0,0
SAL80052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,3,0,0,0,4,0,0,0,4,0,0,5,4,0,0,3,0,0,0,3,7,0,12,3,0,0,7,0,0,0,7,0,0,7,0,7,0,9,0,0,0,9,3,0,10,4,0,0,8,0,0,0,8,3,0,13,9,4,0,7,0,0,0,7,0,0,6,6,0,0,8,0,0,0,8,0,0,8,6,0,0,6,0,0,0,6,0,0,6,14,6,0,14,0,0,0,14,0,0,20,8,0,0,9,0,0,0,9,0,0,9,0,0
SAL80053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,8,0,7,3,0,0,3,0,0,0,3,10,0,7,7,0,0,9,0,0,0,9,7,0,13,5,0,0,10,0,0,0,10,5,0,11,5,0,0,5,0,0,0,5,0,0,5,12,3,0,16,0,0,0,16,0,0,16,9,0,0,6,0,0,0,6,0,0,5,8,0,0,7,0,0,0,7,6,0,11,0,0,0,4,0,0,0,4,0,0,3,4,0,0,6,0,0,0,6,0,0,6,7,0,0,9,0,0,0,9,0,0,10,0,0
SAL80054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,3,0,6,0,0,0,4,0,0,0,0,9,0,9,0,9,0,9,0,0,0,9,15,0,22,0,0,0,3,0,6,6,6,8,0,11,0,7,0,5,0,0,0,4,10,0,15,5,3,0,10,0,0,0,10,11,0,21,6,4,0,9,0,0,0,9,6,0,16,8,6,0,14,0,0,0,16,3,0,24,10,8,0,17,0,0,0,17,0,0,16,26,7,0,31,0,0,0,30,6,0,33,11,4,0,11,0,0,0,11,5,0,16,4,0,0,4,0,0,0,4,3,0,6,0,0,0,5,0,0,0,5,0,0,6,0,0,0,3,0,0,0,3,0,0,4,3,3,0,6,0,0,0,6,6,0,6,0,0
SAL80055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,7,0,11,0,0,0,0,0,0,6,6,5,0,11,0,3,0,3,0,0,0,7,0,0,5,0,0,0,3,0,0,0,3,4,0,5,3,4,0,7,0,0,0,6,3,0,13,4,3,0,6,0,0,0,6,3,0,6,7,0,0,5,0,0,0,5,4,0,7,5,0,0,7,0,0,0,7,6,0,15,15,0,0,15,0,0,0,15,0,0,17,3,5,0,8,0,0,0,8,3,0,10,3,0,0,3,0,0,0,3,4,0,8,4,0,0,6,0,0,0,6,0,0,6,3,0,0,3,0,0,0,3,0,0,3,0,0,0,4,0,0,0,4,0,0,6,0,0
SAL80056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,4,0,7,0,0,0,0,0,0,0,0,0,0,4,5,0,0,4,0,0,0,4,4,0,8,8,0,0,9,0,0,0,9,5,0,13,12,0,0,12,0,0,0,12,0,0,6,5,0,0,9,0,0,0,9,0,0,12,11,3,0,20,0,0,0,20,0,0,22,3,0,0,4,0,0,0,4,0,0,4,9,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,4,18,0,0,18,0,0,0,18,0,0,18,5,0,3,8,0,0,0,8,0,0,8,0,0
SAL80057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,4,0,9,0,4,0,4,0,0,0,4,0,0,4,3,0,0,8,0,0,0,8,0,0,8,4,0,0,4,0,0,0,4,0,0,4,10,0,0,10,0,0,0,10,0,0,7,0,0,0,0,0,0,0,4,0,0,4,0,0
SAL80058,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,0,3,3,3,0,3,0,0,0,3,0,0,4,0,0,0,6,0,0,0,6,3,0,5,6,8,0,10,0,0,0,16,6,0,13,6,7,0,8,0,0,0,8,8,0,17,8,4,0,11,0,0,0,11,0,0,16,12,0,0,12,0,0,0,12,3,0,16,9,4,0,16,0,0,0,16,3,0,16,28,0,0,32,0,0,0,32,0,0,31,4,0,0,7,0,0,0,7,0,0,8,8,0,0,12,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,6,0,5,12,0,0,10,0,0,0,10,0,0,13,10,0,0,14,0,0,0,13,0,0,17,0,0
SAL80059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,5,0,3,5,3,0,5,0,0,0,5,0,0,5,0,3,0,4,0,0,0,4,3,0,8,7,4,0,12,0,0,0,12,9,0,17,5,0,0,9,0,0,0,9,0,0,8,3,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,3,7,0,0,7,0,0,0,7,0,0,9,5,0,0,9,0,0,0,9,0,0,9,0,0
SAL80060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,0,7,0,0,0,7,4,0,8,3,0,0,7,0,0,0,7,3,0,7,7,0,0,7,0,0,0,7,0,0,3,4,3,0,7,0,0,0,7,0,0,7,19,0,0,22,0,0,0,22,7,0,27,7,0,0,7,0,0,0,7,0,0,7,8,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,0,0,0,12,0,0,12,0,0,0,6,0,0,0,6,6,0,5,0,0
SAL80062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,5,0,7,0,4,0,4,0,0,0,4,0,0,7,0,3,0,3,0,0,0,3,0,0,10,0,0,0,3,0,0,0,3,3,0,4,3,6,0,4,0,0,0,4,3,0,8,4,0,0,9,0,0,0,9,5,0,12,11,0,0,16,0,0,0,13,0,0,18,10,5,0,14,0,0,0,14,4,0,15,6,0,0,8,0,0,0,7,0,0,12,0,0,0,3,0,0,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5,0,3,0,5,0,0,0,5,0,0,4,0,0
